Name,StartYear,EndYear,StartMonth,EndMonth,StartDate,EndDate,StartTime,EndTime,Venue,Target,Deadline,Link,Nature,Description
Social Innovation (SI) CEO Competition,2016,2017,10,11,01,21,00:00,23:59,CUHK Campus,All CUHK students,31/12/2016 00:00,http://www3.baf.cuhk.edu.hk/bbaDB/onlineApps.asp?action=regWorkshop&wkRef=734,Competition,"The objectives of the Competition are to enhance understanding of 'poverty relief' and 'social innovation', inspire innovative ideas and actions to tackle social and poverty problems and nurture capability in social entrepreneurship among students."
ACCA Hong Kong Business Competition 2016,2016,2016,10,02,01,31,00:00,23:59,CUHK Campus,All CUHK business students,19/10/2016 00:00,http://www3.baf.cuhk.edu.hk/bbaDB/onlineApps.asp?action=regWorkshop&wkRef=736,Competition,"Making its 10th anniversary this year, the ACCA Hong Kong Business Competition has undergone a significant revamp to enhance their support and resources to participating students. Top 20 teams in the Competition will be coached by ACCA members to receive valuable advices and guidance. The theme of this year's Competition is ""Youth Catalysts in Driving Social Enterprise Excellence"". Contesting students are required to pick one out of the three existing social enterprises case studies, and develop a business proposal to optimise their business operations."
Financial Dialogue Day,2016,2016,10,10,13,18,18:30,20:30,CUHK Campus,Members of The China Trade Society,18/10/2016 00:00,http://www3.baf.cuhk.edu.hk/bbaDB/onlineApps.asp?action=regWorkshop&wkRef=739,Talk,"The China Trade Society is holding the Financial Dialogue Day on Oct 13 (Thursday) and Oct 18 (Tuesday) respectively. A number of sophisticated speakers, covering investment banking, private equity, real estate investment, risk and wealth management and insurance, are going to share their experiences and ideas in the event."
Treasury Markets Association (TMA) Challenge 2017,2016,2017,11,01,01,31,00:00,23:59,CUHK Campus,All CUHK students,03/11/2016 23:00,http://www3.baf.cuhk.edu.hk/bbaDB/onlineApps.asp?action=regWorkshop&wkRef=748,Competition,"For further details, please visit the organizer's website at http://www.tma.org.hk/en_newsevents_n1.aspx?NewsId=300."
Chicago Quantitative Alliance (CQA) Investment Challenge,2016,2017,10,03,31,31,00:00,23:59,CUHK Campus,All CUHK business students,20/10/2016 23:00,http://www3.baf.cuhk.edu.hk/bbaDB/onlineApps.asp?action=regWorkshop&wkRef=749,Competition,"The CQA Investment Challenge is an equity portfolio management competition that offers students the opportunity to learn and apply stock selection and portfolio management skills in a simulated, real life hedge fund experience."
AIIB President's Dialogue with Higher Education Students,2016,2016,11,11,07,07,15:00,17:00,"Conference Hall, 2/F, Central Government Offices, 2 Tim Mei Avenue, Tamar, Hong Kong",All CUHK business students,21/10/2016 23:00,http://www3.baf.cuhk.edu.hk/bbaDB/onlineApps.asp?action=regWorkshop&wkRef=751,Talk,"The HKSAR Government has invited Mr. Jin Liqun (???), President of the Asian Infrastructure Investment Bank (AIIB), to have a dialogue with higher education students in Hong Kong on 7 November 2016 (Monday) and and we are invited to participate in this highly distinguished event."
Recruitment Talk - Nan Fung Group,2016,2016,10,10,17,17,12:30,14:30,"Swire Hall 1, Fung King Hey Building (SWH) ",All CUHK students,17/10/2016 00:00,http://cpdc.osa.cuhk.edu.hk/event,Recruitment,Nan Fung Group
Career Seminar - Winning in Assessment Centre!,2016,2016,10,10,17,17,16:30,18:30,"LT2, Yasumoto International Academic Park (YIA) ",All CUHK students,17/10/2016 00:00,http://cpdc.osa.cuhk.edu.hk/event,Talk,"During the seminar, Miss Sarah Leung, Director of Tim Robinson Ltd., will share with you the prospective employers¡¦ expectations on fresh graduates in the market and the design, purpose and expected performance of this common assessment tools.  Through the seminar, you will learn how to prepare for your job searching, perform your best in different assessments and impress the assessment panel."
Recruitment Talk - Accenture Company Ltd,2016,2016,10,10,17,17,16:30,18:30,"LT3, Yasumoto International Academic Park (YIA) ",All CUHK students,17/10/2016 00:00,http://cpdc.osa.cuhk.edu.hk/event,Recruitment,Accenture Company Ltd
Recruitment Talk - Hang Lung Properties Limited,2016,2016,10,10,18,18,12:30,14:30,"B6, Ho Tim Building (HTB) ",All CUHK students,18/10/2016 00:00,http://cpdc.osa.cuhk.edu.hk/event,Recruitment,Hang Lung Properties Limited
Recruitment Talk - Societe Generale,2016,2016,10,10,18,18,16:30,18:30,"LT3, Yasumoto International Academic Park (YIA) ",All CUHK students,18/10/2016 00:00,http://cpdc.osa.cuhk.edu.hk/event,Recruitment,Societe Generale
Recruitment Talk - OC&C Strategy Consultants,2016,2016,10,10,18,18,13:30,15:30,"LT5, Yasumoto International Academic Park (YIA) ",All CUHK students,18/10/2016 00:00,http://cpdc.osa.cuhk.edu.hk/event,Recruitment,OC&C Strategy Consultants
Recruitment Talk - WorldQuant,2016,2016,10,10,19,19,16:30,16:30,"LT3, Esther Lee Building (ELB) ",All CUHK students,19/10/2016 00:00,http://cpdc.osa.cuhk.edu.hk/event,Recruitment,WorldQuant
Recruitment Talk - Procter & Gamble (P&G),2016,2016,10,10,20,20,13:30,15:30,"LT5, Lee Shau Kee Building (LSK) ",All CUHK students,19/10/2016 00:00,http://cpdc.osa.cuhk.edu.hk/event,Recruitment,Procter & Gamble (P&G)
Career Workshop - Insider Tips about Property-related Graduate Jobs by HKCareers,2016,2016,10,10,18,18,15:30,18:30,"LT9, Yasumoto International Academic Park (YIA) ",All CUHK students,18/10/2016 00:00,http://cpdc.osa.cuhk.edu.hk/event,Workshop,Start a career in property with our specialists advice for graduates. Apply for graduate schemes and internships with top real estate employers.
Career 101 - Planning and Preparation via Careers E-coach,2016,2016,10,10,14,14,14:30,16:30,"Training Room 102, Pi Chiu Building (HCA)",All CUHK Postgraduates,13/10/2016 00:00,https://cpdc.osa.cuhk.edu.hk/event/detail/ecoachsepoct16,Workshop,"You may be able to explore these in our upcoming workshop.  The Career Planning and Development Centre now offers introductory sessions for undergraduates and postgraduates on career planning and highlights some essential preparation step-by-step via Careers E-coach, an electronic platform of vocational and development resources.  You can try the online system, figure out ways to reach your goal through reflections prompted in the informative site and sharing by the facilitator."
